DemandaID,Titulo,SquadID,StatusID,PrioridadeID,CategoriaID,ResponsavelID,DataAbertura,DataPrazo,DataFechamento
1,Catálogo de dados do domínio #0001,5,3,1,1,13,2024-05-22,2024-05-26,2024-05-28
2,Validação de documentos KYC #0002,3,3,1,1,9,2024-01-28,2024-02-03,2024-02-01
3,Auditoria de logs de segurança #0003,4,3,2,5,10,2025-03-08,2025-03-21,2025-03-21
4,Integração de API de Pagamentos #0004,1,3,3,2,2,2024-09-27,2024-10-15,2024-10-10
5,Dashboard de KPIs executivos #0005,5,1,4,3,14,2024-07-15,2024-08-13,
6,Atualização de middleware #0006,6,3,4,5,16,2025-01-24,2025-02-25,2025-02-28
7,Redução de abandono no cadastro #0007,3,3,3,4,9,2024-03-14,2024-04-03,2024-03-29
8,Integração com bureau de crédito #0008,2,3,4,4,4,2024-11-28,2024-12-26,2024-12-09
9,Integração com bureau de crédito #0009,2,3,2,5,6,2024-11-18,2024-11-29,2024-11-29
10,Implementar novo gateway #0010,1,4,2,4,3,2024-09-26,2024-10-10,
11,Validação de documentos KYC #0011,3,4,4,1,8,2024-04-03,2024-05-01,
12,Catálogo de dados do domínio #0012,5,3,3,2,13,2025-01-29,2025-02-22,2025-02-07
13,Pesquisa de satisfação NPS #0013,7,2,1,4,21,2024-09-30,2024-10-08,
14,Implementação de Pix agendado #0014,1,3,1,4,3,2024-09-26,2024-10-01,2024-09-29
15,Automação de relatório executivo #0015,5,3,3,1,13,2024-01-01,2024-01-24,2024-01-13
16,Migração de SOAP para REST #0016,6,3,2,1,18,2024-03-21,2024-03-30,2024-04-12
17,Migração de SOAP para REST #0017,6,3,2,3,18,2024-06-18,2024-06-30,2024-06-22
18,Monitoramento de integrações #0018,6,4,3,4,17,2025-01-17,2025-02-11,
19,Otimização de conciliação bancária #0019,1,1,2,2,3,2024-08-23,2024-09-03,
20,Dashboard de KPIs executivos #0020,5,3,2,5,14,2024-03-13,2024-03-24,2024-03-22
21,Integração com sistema legado #0021,6,2,4,3,16,2025-04-29,2025-06-02,
22,Monitoramento de SLA por squad #0022,5,2,3,2,15,2024-02-25,2024-03-15,
23,Jornada de cadastro digital #0023,3,3,4,1,7,2025-04-04,2025-05-04,2025-04-12
24,Revisão de política de senhas #0024,4,4,4,3,10,2024-01-16,2024-02-14,
25,Relatório de concessões mensais #0025,2,3,3,3,5,2024-03-01,2024-03-21,2024-03-26
26,API Gateway para parceiros #0026,6,2,2,4,18,2025-05-13,2025-05-23,
27,Monitoramento de infraestrutura #0027,8,2,3,3,24,2024-11-17,2024-12-05,
28,Pipeline de dados de transações #0028,5,2,4,1,15,2024-03-23,2024-04-22,
29,Governança de dados mestres #0029,5,3,2,1,15,2024-09-09,2024-09-17,2024-09-15
30,Análise de score de crédito #0030,2,3,3,1,5,2024-05-14,2024-06-05,2024-06-20
31,Integração de API de Pagamentos #0031,1,3,3,3,1,2024-03-16,2024-04-06,2024-03-28
