DemandaID,Titulo,Squad,Area,StatusNome,PrioridadeNome,Nivel,SLA_Dias,CategoriaNome,Responsavel,DataAbertura,DataPrazo,DataFechamento
1,Catálogo de dados do domínio #0001,Squad Dados,Data & Analytics,Concluído,Crítica,1,5,Desenvolvimento,Marina Oliveira,2024-05-22,2024-05-26,2024-05-28
2,Validação de documentos KYC #0002,Squad Onboarding,Experiência do Cliente,Concluído,Crítica,1,5,Desenvolvimento,Isabela Nunes,2024-01-28,2024-02-03,2024-02-01
3,Auditoria de logs de segurança #0003,Squad Segurança,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Infraestrutura,João Cardoso,2025-03-08,2025-03-21,2025-03-21
4,Integração de API de Pagamentos #0004,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Manutenção,Bruno Costa,2024-09-27,2024-10-15,2024-10-10
5,Dashboard de KPIs executivos #0005,Squad Dados,Data & Analytics,Aberto,Baixa,4,30,Melhoria,Nelson Gomes,2024-07-15,2024-08-13,
6,Atualização de middleware #0006,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Baixa,4,30,Infraestrutura,Paulo Martins,2025-01-24,2025-02-25,2025-02-28
7,Redução de abandono no cadastro #0007,Squad Onboarding,Experiência do Cliente,Concluído,Média,3,20,Bug,Isabela Nunes,2024-03-14,2024-04-03,2024-03-29
8,Integração com bureau de crédito #0008,Squad Crédito,Produtos Financeiros,Concluído,Baixa,4,30,Bug,Diego Rocha,2024-11-28,2024-12-26,2024-12-09
9,Integração com bureau de crédito #0009,Squad Crédito,Produtos Financeiros,Concluído,Alta,2,10,Infraestrutura,Felipe Santos,2024-11-18,2024-11-29,2024-11-29
10,Implementar novo gateway #0010,Squad Pagamentos,Produtos Financeiros,Bloqueado,Alta,2,10,Bug,Carla Mendes,2024-09-26,2024-10-10,
11,Validação de documentos KYC #0011,Squad Onboarding,Experiência do Cliente,Bloqueado,Baixa,4,30,Desenvolvimento,Henrique Alves,2024-04-03,2024-05-01,
12,Catálogo de dados do domínio #0012,Squad Dados,Data & Analytics,Concluído,Média,3,20,Manutenção,Marina Oliveira,2025-01-29,2025-02-22,2025-02-07
13,Pesquisa de satisfação NPS #0013,Squad Experiência,Experiência do Cliente,Em Andamento,Crítica,1,5,Bug,Vera Lopes,2024-09-30,2024-10-08,
14,Implementação de Pix agendado #0014,Squad Pagamentos,Produtos Financeiros,Concluído,Crítica,1,5,Bug,Carla Mendes,2024-09-26,2024-10-01,2024-09-29
15,Automação de relatório executivo #0015,Squad Dados,Data & Analytics,Concluído,Média,3,20,Desenvolvimento,Marina Oliveira,2024-01-01,2024-01-24,2024-01-13
16,Migração de SOAP para REST #0016,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Desenvolvimento,Sergio Dias,2024-03-21,2024-03-30,2024-04-12
17,Migração de SOAP para REST #0017,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Melhoria,Sergio Dias,2024-06-18,2024-06-30,2024-06-22
18,Monitoramento de integrações #0018,Squad Integrações,Tecnologia e Infraestrutura,Bloqueado,Média,3,20,Bug,Renata Barbosa,2025-01-17,2025-02-11,
19,Otimização de conciliação bancária #0019,Squad Pagamentos,Produtos Financeiros,Aberto,Alta,2,10,Manutenção,Carla Mendes,2024-08-23,2024-09-03,
20,Dashboard de KPIs executivos #0020,Squad Dados,Data & Analytics,Concluído,Alta,2,10,Infraestrutura,Nelson Gomes,2024-03-13,2024-03-24,2024-03-22
21,Integração com sistema legado #0021,Squad Integrações,Tecnologia e Infraestrutura,Em Andamento,Baixa,4,30,Melhoria,Paulo Martins,2025-04-29,2025-06-02,
22,Monitoramento de SLA por squad #0022,Squad Dados,Data & Analytics,Em Andamento,Média,3,20,Manutenção,Olivia Castro,2024-02-25,2024-03-15,
23,Jornada de cadastro digital #0023,Squad Onboarding,Experiência do Cliente,Concluído,Baixa,4,30,Desenvolvimento,Gabriela Lima,2025-04-04,2025-05-04,2025-04-12
24,Revisão de política de senhas #0024,Squad Segurança,Tecnologia e Infraestrutura,Bloqueado,Baixa,4,30,Melhoria,João Cardoso,2024-01-16,2024-02-14,
25,Relatório de concessões mensais #0025,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Melhoria,Elena Ferreira,2024-03-01,2024-03-21,2024-03-26
26,API Gateway para parceiros #0026,Squad Integrações,Tecnologia e Infraestrutura,Em Andamento,Alta,2,10,Bug,Sergio Dias,2025-05-13,2025-05-23,
27,Monitoramento de infraestrutura #0027,Squad Infraestrutura,Tecnologia e Infraestrutura,Em Andamento,Média,3,20,Melhoria,Yuri Fernandes,2024-11-17,2024-12-05,
28,Pipeline de dados de transações #0028,Squad Dados,Data & Analytics,Em Andamento,Baixa,4,30,Desenvolvimento,Olivia Castro,2024-03-23,2024-04-22,
29,Governança de dados mestres #0029,Squad Dados,Data & Analytics,Concluído,Alta,2,10,Desenvolvimento,Olivia Castro,2024-09-09,2024-09-17,2024-09-15
30,Análise de score de crédito #0030,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Desenvolvimento,Elena Ferreira,2024-05-14,2024-06-05,2024-06-20
31,Integração de API de Pagamentos #0031,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Melhoria,Ana Silva,2024-03-16,2024-04-06,2024-03-28
32,Melhoria de acessibilidade #0032,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Desenvolvimento,Vera Lopes,2024-11-05,2024-11-23,2024-11-09
33,Modelagem de risco de crédito #0033,Squad Crédito,Produtos Financeiros,Concluído,Baixa,4,30,Bug,Diego Rocha,2024-10-05,2024-11-06,2024-10-19
34,Automação de relatório executivo #0034,Squad Dados,Data & Analytics,Concluído,Alta,2,10,Melhoria,Marina Oliveira,2024-04-04,2024-04-18,2024-04-10
35,Otimização de conciliação bancária #0035,Squad Pagamentos,Produtos Financeiros,Em Andamento,Baixa,4,30,Desenvolvimento,Bruno Costa,2025-03-13,2025-04-10,
36,Otimização de performance UX #0036,Squad Experiência,Experiência do Cliente,Em Andamento,Média,3,20,Bug,Vera Lopes,2024-05-31,2024-06-24,
37,Melhoria no fluxo de boas-vindas #0037,Squad Onboarding,Experiência do Cliente,Concluído,Baixa,4,30,Compliance,Gabriela Lima,2025-01-01,2025-02-01,2025-01-13
38,Pesquisa de satisfação NPS #0038,Squad Experiência,Experiência do Cliente,Cancelado,Média,3,20,Melhoria,Tatiana Ramos,2024-08-30,2024-09-19,2024-10-04
39,Implementação de Pix agendado #0039,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Manutenção,Bruno Costa,2024-09-11,2024-10-03,2024-09-24
40,Integração de API de Pagamentos #0040,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Desenvolvimento,Bruno Costa,2024-12-24,2025-01-15,2025-01-19
41,Governança de dados mestres #0041,Squad Dados,Data & Analytics,Concluído,Média,3,20,Desenvolvimento,Marina Oliveira,2024-10-12,2024-11-04,2024-10-30
42,Monitoramento de infraestrutura #0042,Squad Infraestrutura,Tecnologia e Infraestrutura,Em Andamento,Alta,2,10,Compliance,Wagner Teixeira,2024-09-28,2024-10-06,
43,Validação de documentos KYC #0043,Squad Onboarding,Experiência do Cliente,Bloqueado,Média,3,20,Manutenção,Isabela Nunes,2024-04-28,2024-05-22,
44,Revisão de limites automáticos #0044,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Desenvolvimento,Felipe Santos,2024-07-20,2024-08-12,2024-08-27
45,Governança de dados mestres #0045,Squad Dados,Data & Analytics,Em Andamento,Média,3,20,Desenvolvimento,Nelson Gomes,2025-06-03,2025-06-25,
